# T, C, X, magabs
-2.644569428466760463e+00 2.817655945325627798e-01 2.396598136623620187e-03 7.139710395909942831e-01
-2.393303924574431196e+00 3.082101152049383508e-01 2.980450235864906539e-03 7.077494003512002640e-01
-2.175540487867747341e+00 3.333143677730608934e-01 3.663735662051215061e-03 7.017553820592036251e-01
-1.980809722351192015e+00 3.558411816791586246e-01 4.289655707307703583e-03 6.957613637672069862e-01
-1.803527950160492832e+00 3.825434462177366157e-01 5.264867183114654847e-03 6.893121035796155871e-01
-1.639507412897446059e+00 4.054311015365177906e-01 6.251551735107571325e-03 6.829387170412900554e-01
-1.486654231362945833e+00 4.301745126919569451e-01 7.355516621445898524e-03 6.763377095551671436e-01
-1.342874526357891396e+00 4.554334115798009952e-01 8.644325513002537598e-03 6.692814601734495827e-01
-1.205376458950143004e+00 4.787334570845061532e-01 9.939508335773599573e-03 6.622252107917320219e-01
-1.074160029139706651e+00 5.033222219202238001e-01 1.157888344412358675e-02 6.545619722158881881e-01
-9.485272771935405745e-01 5.276016941164984875e-01 1.323610555987396291e-02 6.465952390429812180e-01
-8.263843239125469031e-01 5.540977635621143760e-01 1.512533877182939239e-02 6.382491376237453551e-01
-7.077311692967255263e-01 5.700778832666689722e-01 1.666655533947724102e-02 6.300547835030411159e-01
-5.918698536130410082e-01 5.955429772474749583e-01 1.874318212913675050e-02 6.209499455911474675e-01
-4.788003768614931266e-01 6.181213399268131736e-01 2.094601275684186345e-02 6.112381184851275462e-01
-3.678247793090493323e-01 6.393078857286578209e-01 2.321513226917699263e-02 6.009951758342471084e-01
-2.582451012226706921e-01 6.574015051360727613e-01 2.534530008103767079e-02 5.908281068326325380e-01
-1.500613426023635344e-01 6.767322951012595400e-01 2.799685546623827473e-02 5.792953121442339093e-01
-4.327350344812472271e-02 6.899803298240675398e-01 3.015506857544241262e-02 5.679901384036326606e-01
6.281637597308148413e-02 7.029190719074325244e-01 3.244968381263524382e-02 5.563055964167024081e-01
1.689062553942876910e-01 7.113730707188742342e-01 3.452631060229475329e-02 5.443175598327091302e-01
2.742981750824581288e-01 7.196208744373538968e-01 3.671129422259947900e-02 5.315707867560579558e-01
3.803880545036643079e-01 7.209611425416069252e-01 3.881341673711669049e-02 5.182928981345464869e-01
4.864779339248705425e-01 7.256520809064922473e-01 4.052417987506822666e-02 5.051667568115663087e-01
5.932657730791094375e-01 7.224560569655813502e-01 4.217120370087552167e-02 4.915853735929917034e-01
7.007515719663839349e-01 7.169403382288480620e-01 4.342049421890272626e-02 4.785351059192775036e-01
8.096332903197267505e-01 7.062181933948245005e-01 4.445817022061104157e-02 4.642708598573107026e-01
9.206088878721706559e-01 6.969394142115348245e-01 4.539513810913144848e-02 4.504618556909386617e-01
1.032980404890685877e+00 6.820418187450307812e-01 4.596241798721523164e-02 4.361976096289719163e-01
1.147445801108302188e+00 6.644121382967803635e-01 4.617913164850566410e-02 4.223886054625998754e-01
1.265400995991087685e+00 6.477103357668589911e-01 4.644301240078284321e-02 4.072897492587096435e-01
1.386148029806012927e+00 6.268330826044572479e-01 4.614088806121911801e-02 3.934048714430717353e-01
1.511082822019143235e+00 6.038423297391951605e-01 4.561567612915053832e-02 3.792923726796366135e-01
1.640903332363514489e+00 5.776040041597816366e-01 4.493748984793576734e-02 3.644211374235436507e-01
1.775609560839123136e+00 5.547163488410004062e-01 4.396610273085747173e-02 3.499292704137795251e-01
1.917993346378109365e+00 5.289419622207514049e-01 4.265817204565755527e-02 3.364237608444706207e-01
2.068054688980472733e+00 4.994560639271863889e-01 4.104174308967949852e-02 3.224630093795670116e-01
2.227887467845314440e+00 4.739394211731398632e-01 3.947758036965971773e-02 3.084263842653975907e-01
2.400981481637807669e+00 4.455360471176253445e-01 3.757304972278967259e-02 2.944656328004940371e-01
2.590128569290090610e+00 4.176997095677563721e-01 3.553849087914536659e-02 2.802772603877931035e-01
2.800214448933395772e+00 3.902757622038113827e-01 3.325534871813849713e-02 2.665441298706868190e-01
3.040312597097178049e+00 3.594495958059935048e-01 3.075294332335543404e-02 2.515970209653280443e-01
3.324382208442118181e+00 3.316648070293649608e-01 2.802107640485308748e-02 2.367257857092350815e-01
3.679643712556548873e+00 2.986735921554461992e-01 2.499728343673009168e-02 2.201094565200291675e-01
4.177289002209965574e+00 2.640328165378314496e-01 2.142915674289524314e-02 2.015204124499129501e-01
5.123024440471369623e+00 2.150614819593582305e-01 1.635295792372755408e-02 1.750405088561555467e-01
