# T, C, X, magabs
-1.936276941256653927e+01 2.188828133458781688e-01 8.603193037742193350e-03 5.804844169764938888e-01
-1.752307635674073438e+01 2.179877178626468959e-01 5.080913994927998764e-03 5.772512132829658027e-01
-1.592867570835838187e+01 2.143753682338920830e-01 1.613506803974878003e-03 5.742667175658630052e-01
-1.450291359009338521e+01 2.323412132901770955e-01 2.184887397404240098e-03 5.689816730668267875e-01
-1.320490793403851271e+01 2.364011106605475865e-01 2.416007637443083741e-04 5.650023454440230575e-01
-1.200399718926334636e+01 2.555177927667013904e-01 1.097107806110311475e-03 5.592820619862427511e-01
-1.088485058030265051e+01 2.707983513732925562e-01 8.060126319873145255e-04 5.539970174872065334e-01
-9.832137331691223281e+00 2.842887190134211761e-01 4.737635689685119910e-04 5.484632650117451380e-01
-8.825416409475424828e+00 3.010078239323483174e-01 4.936271793422207163e-04 5.424320965834331654e-01
-7.864687813655299564e+00 3.222983093549209865e-01 1.169209419455762488e-03 5.354682732435266379e-01
-6.944841285742387349e+00 3.383780603572543733e-01 7.556951438307097334e-04 5.286288038918327548e-01
-6.050546050271509380e+00 3.611710274838223489e-01 9.540568883084917613e-04 5.207945026344379391e-01
-5.181802107242663880e+00 3.851787670519185580e-01 1.267484906138945924e-03 5.119653694713421910e-01
-4.333499198167437783e+00 4.128947593362586321e-01 1.761715675851638395e-03 5.019548734202264884e-01
-3.505637323045828424e+00 4.440312950743753317e-01 2.523556467090788506e-03 4.902034215341342649e-01
-2.693106223389443610e+00 4.845983010822502712e-01 3.770135197670665406e-03 4.759027128896833325e-01
-1.890795640709845182e+00 5.355867759306036646e-01 6.805316811514107271e-03 4.576848536165350478e-01
-1.098705575007078439e+00 6.061714483225562056e-01 1.298054014810750070e-02 4.316326930859918920e-01
-3.168360262811203976e-01 6.798250195141587460e-01 2.303931880016839989e-02 3.966892223982466659e-01
4.599232639564445613e-01 7.270413062546090543e-01 3.550559995263392193e-02 3.487507599422829396e-01
1.236682554194009409e+00 7.234928920175134337e-01 4.662038739376118957e-02 2.887499606296954902e-01
2.008331585943158526e+00 6.527164134505828441e-01 4.626295215073815414e-02 2.347803297454199578e-01
2.785090876180723374e+00 5.704315643849642292e-01 3.983262957484262623e-02 1.905103099417284895e-01
3.561850166418288222e+00 4.975132501974444676e-01 3.178775762978686137e-02 1.550694233011327972e-01
4.343719715144246152e+00 4.480272570530864362e-01 2.471927541674704201e-02 1.308203955996725676e-01
5.130699522358620257e+00 4.120955669405163557e-01 1.955841313365745682e-02 1.129755982911620910e-01
5.927899846549802731e+00 3.846353162228138278e-01 1.553932434409309969e-02 9.879924363492381678e-02
6.740430946206187990e+00 3.641120555001537418e-01 1.277756916807339105e-02 8.934834053076495808e-02
7.563182562839403822e+00 3.442920840857467413e-01 1.046329394398073757e-02 8.002179141481872982e-02
8.401264954937820661e+00 3.292033316541337351e-01 8.792555798514760032e-03 7.312014506901849675e-02
9.264898639478250431e+00 3.126440652143550047e-01 7.552177587195183298e-03 6.758639259355707363e-02
1.014897335797232003e+01 2.995053422283529554e-01 6.506868809241725567e-03 6.286094104147764428e-02
1.106370962739681651e+01 2.864944900256696791e-01 5.642033552059340373e-03 5.869508243635498945e-02
1.201421770624015473e+01 2.740910240437505196e-01 4.888258923043768515e-03 5.446704683712602635e-02
1.300049759450231335e+01 2.637654582907610346e-01 4.268920331087827126e-03 5.123384314359800268e-02
1.404299032613693221e+01 2.529923447961559546e-01 3.766019808781084430e-03 4.824934742649520519e-02
1.514169590114400954e+01 2.420274251265727705e-01 3.329020380559492582e-03 4.545138269171133255e-02
1.631194509498875078e+01 2.315420208944349023e-01 2.943381005679864687e-03 4.283994893924638475e-02
1.757928920011318752e+01 2.215041644039126567e-01 2.599169878955348307e-03 4.041504616910036873e-02
1.896416925047095603e+01 2.116261463925388775e-01 2.287881863347476265e-03 3.805232039306064712e-02
2.050235705548083942e+01 2.008530328979337698e-01 2.029215953674373858e-03 3.600047958755248079e-02
2.226028597549217025e+01 1.900799194033287176e-01 1.765117730667025223e-03 3.382428479383168402e-02
2.434016118027301445e+01 1.792428705170642511e-01 1.526205687663909419e-03 3.164809000011090112e-02
2.694128275087115298e+01 1.666795660559966252e-01 1.294975703921343816e-03 2.947189520639011129e-02
3.058489705310391216e+01 1.510153950994491678e-01 1.061495974252474675e-03 2.698481544213778352e-02
3.750929730489268366e+01 1.279986541020733393e-01 7.699618253145889104e-04 2.350290377218451979e-02
