# T, C, X, magabs
-1.233986814192676107e+01 1.940110109281311945e-01 2.049510135839239535e-04 6.121124198500230706e-01
-1.116743411419024845e+01 2.121049330047772019e-01 2.543718253701184235e-04 6.068439992775173097e-01
-1.015132462348527831e+01 2.287741368076715298e-01 3.118430861350593875e-04 6.016406209343017064e-01
-9.242688251989482850e+00 2.470817666253802558e-01 3.788183491665762987e-04 5.964372425910861031e-01
-8.415470910197608845e+00 2.632879369893053045e-01 4.563039205870124079e-04 5.910387375599999160e-01
-7.650132030980726583e+00 2.813462411091074977e-01 5.515675668355138426e-04 5.855751902996235714e-01
-6.936901330774349006e+00 2.985497142646586499e-01 6.717652425598555051e-04 5.798514741220864854e-01
-6.266008526014014812e+00 3.160737490318039633e-01 8.077283808675760459e-04 5.738025467980983896e-01
-5.624426571947083175e+00 3.355211534685140218e-01 9.897579772203462731e-04 5.673633660983690152e-01
-5.012155468573582517e+00 3.558233888694750657e-01 1.210362641596277608e-03 5.606640164814790106e-01
-4.425938454705319991e+00 3.788325889905643229e-01 1.553736652898094536e-03 5.529890334252359763e-01
-3.856005246777847173e+00 4.032308894285613343e-01 1.961402444238512840e-03 5.447937125346714593e-01
-3.302355844791165396e+00 4.298018852340296792e-01 2.610581704941329542e-03 5.355577159754638661e-01
-2.761733487557110234e+00 4.627484953145365454e-01 3.675924453128796322e-03 5.247607059132914920e-01
-2.234138175075681243e+00 4.967280261435135236e-01 5.074578151394647414e-03 5.126628512653153003e-01
-1.716313146158729541e+00 5.412504721982526190e-01 7.599064776979936112e-03 4.977031385285704546e-01
-1.205001639618076492e+00 5.922197684417179753e-01 1.192897639784052354e-02 4.787758498051237765e-01
-7.002036554537510726e-01 6.459316473621552479e-01 1.754449999589039605e-02 4.556208161778144139e-01
-2.019191936657388498e-01 7.050930736796926501e-01 2.619057038727287678e-02 4.255713062457444629e-01
2.931085069341239357e-01 7.414590076172035138e-01 3.494856438181821040e-02 3.909688402633608173e-01
7.881362075339867213e-01 7.535334949872487531e-01 4.337514822673847054e-02 3.476507155560910611e-01
1.279907146945685525e+00 7.244336242458713215e-01 4.706594364811967496e-02 3.067391533325585784e-01
1.774934847545548422e+00 6.643105130935514913e-01 4.630159824230423854e-02 2.667381823190888013e-01
2.269962548145411319e+00 6.048641431212637976e-01 4.309942034921639825e-02 2.316153785023836176e-01
2.768247009933423541e+00 5.437437291773179471e-01 3.807784098693183655e-02 2.013707418824430273e-01
3.269788232909599746e+00 4.954457796971369898e-01 3.261505229589541088e-02 1.768498214400395785e-01
3.777842978262088813e+00 4.521343441750867997e-01 2.769142006285226290e-02 1.562964769843380730e-01
4.295668007179040515e+00 4.220371706420831259e-01 2.366205853719821617e-02 1.406212997254011055e-01
4.820006558472320179e+00 3.951456132250206754e-01 2.009392065095152308e-02 1.275478116380719673e-01
5.354115393330062034e+00 3.706048409596484627e-01 1.712610027257831583e-02 1.161654215122878836e-01
5.904508034128580718e+00 3.520835034008770181e-01 1.472952633632199949e-02 1.071245516409508047e-01
6.467927719679738452e+00 3.360554228211709016e-01 1.275068125262953517e-02 9.905931520896664455e-02
7.050887972359837441e+00 3.217726221268106257e-01 1.111957084010237531e-02 9.222988113349619987e-02
7.656645553357040335e+00 3.079884728282633599e-01 9.765753670176487503e-03 8.611591158021787706e-02
8.285200462671330257e+00 2.943824133139351096e-01 8.588822754200283252e-03 8.084749100771210228e-02
8.949579745055352475e+00 2.817380386343891763e-01 7.560042461791290427e-03 7.577419712307692512e-02
9.649783400509102549e+00 2.699484949190942840e-01 6.687127806554140491e-03 7.141636776063386982e-02
1.039558171259704622e+01 2.574109741100797377e-01 5.918421740875211105e-03 6.744879177393198200e-02
1.120325848725997275e+01 2.469392947980051101e-01 5.241736779495010518e-03 6.361130024581049258e-02
1.208584076925052209e+01 2.347579535574284559e-01 4.634263316973757582e-03 5.990389317626939464e-02
1.306612588688575727e+01 2.233245894105714557e-01 4.082472126555499771e-03 5.652169725317926496e-02
1.418645173561176165e+01 2.114638097815889628e-01 3.553378729785653615e-03 5.307445910079894302e-02
1.551195353919165498e+01 1.997098840231378014e-01 3.097074809198641261e-03 4.975730540699900561e-02
1.716964498396355054e+01 1.853558474150899249e-01 2.628136156186651386e-03 4.624502502532848447e-02
1.949171571111946477e+01 1.684016999574452778e-01 2.141419428346596782e-03 4.221240680933641132e-02
2.390462712107215992e+01 1.431129505983534389e-01 1.559103618883925712e-03 3.681390177825024507e-02
