# T, C, X, magabs
-8.963749279472594367e+00 2.093265588689017798e-01 3.398003563557522723e-04 6.319944629321521123e-01
-8.112086640092774914e+00 2.293246868519679127e-01 4.229903018321605436e-04 6.265549186225671807e-01
-7.373979019296934112e+00 2.487459457585994571e-01 5.211877875838228074e-04 6.211153743129821381e-01
-6.713940473777572748e+00 2.660904759900664107e-01 6.277227957106263408e-04 6.157429848714167653e-01
-6.113045167104032451e+00 2.839349594211100225e-01 7.501917354876994851e-04 6.103705954298512815e-01
-5.557098721953320997e+00 3.021255642980144041e-01 9.065665995903466993e-04 6.046624316481880035e-01
-5.039003949663930726e+00 3.221236922810805092e-01 1.097032666293570836e-03 5.987528032624660490e-01
-4.551663661574369080e+00 3.431601846017289237e-01 1.365315608498112549e-03 5.924402456686266305e-01
-4.085614939469294882e+00 3.624660696930735448e-01 1.659166952653086955e-03 5.858590686027089767e-01
-3.640857783348729448e+00 3.840409731517275826e-01 2.010269283784030421e-03 5.787406525926348522e-01
-3.215026463658814393e+00 4.096155022069948304e-01 2.610385616519189655e-03 5.710178427703845871e-01
-2.801023791738067370e+00 4.345747042473984689e-01 3.300361912630870101e-03 5.624220196638799463e-01
-2.398849767586488380e+00 4.646872700372846055e-01 4.401841257524515688e-03 5.528188735370817009e-01
-2.006138661650239907e+00 4.992609566849316449e-01 5.969480742326054024e-03 5.418726300498921677e-01
-1.622890473929321509e+00 5.314117932115532961e-01 7.768162236056502801e-03 5.297175989383503536e-01
-1.246739474869906106e+00 5.802149170779205001e-01 1.147761857989429771e-02 5.140705146897911471e-01
-8.753199349181454147e-01 6.204034627361976195e-01 1.512185697093098788e-02 4.968117136087621954e-01
-5.086318540740603078e-01 6.725908851843143132e-01 2.113024615100770123e-02 4.749863815024027436e-01
-1.466752323376403488e-01 7.141639166260345117e-01 2.752253191689090980e-02 4.502062352031822035e-01
2.129156598449522819e-01 7.445841459233524251e-01 3.432761767948110804e-02 4.216654162948659246e-01
5.725065520275449682e-01 7.563907330210473123e-01 4.039047867240874723e-02 3.904384026657669038e-01
9.297317146562996681e-01 7.453917626303608879e-01 4.484049228143407312e-02 3.559879553717286704e-01
1.289322606838892327e+00 7.151253650867588352e-01 4.684372099076799384e-02 3.238879284583752738e-01
1.648913499021484874e+00 6.739369130293284549e-01 4.706123768562167631e-02 2.894374811643369849e-01
2.010870120757905166e+00 6.226340231650780987e-01 4.463094255240553088e-02 2.615682109362164054e-01
2.375192472048162973e+00 5.711003856702537851e-01 4.135003485864998524e-02 2.359822062207610760e-01
2.744246282446085594e+00 5.231433364493240923e-01 3.711494404862829277e-02 2.120079183377753806e-01
3.120397281505501219e+00 4.851468932814984591e-01 3.328338932156343216e-02 1.926001614801202966e-01
3.501279739672591873e+00 4.496117581731270962e-01 2.930194447002103242e-02 1.752070506630522828e-01
3.889259386501175086e+00 4.172301740159315431e-01 2.568160697645974905e-02 1.605672894347864865e-01
4.289067681098917006e+00 3.923094299139568419e-01 2.256485583435698800e-02 1.476735547750294975e-01
4.698338893911998326e+00 3.713113955317374204e-01 1.989851617878685142e-02 1.371302404959573451e-01
5.121804484048075423e+00 3.511209778565264061e-01 1.750638837022135477e-02 1.273256297651004509e-01
5.561830181060986256e+00 3.359300921770819737e-01 1.562284942653946983e-02 1.194013553387914678e-01
6.018415984950719277e+00 3.194316365910523925e-01 1.372541461223234990e-02 1.117457003845607338e-01
6.501024813932616553e+00 3.053944890644771371e-01 1.223911229015718985e-02 1.051645233186430939e-01
7.009656668006676306e+00 2.922034161833392818e-01 1.082877406083331343e-02 9.885196572480373089e-02
7.551408735834392871e+00 2.797815020707808964e-01 9.659112310738513993e-03 9.314380194314046679e-02
8.138109665184932950e+00 2.660904759900664107e-01 8.539660973169561561e-03 8.770425763355547966e-02
8.779222374273638607e+00 2.550530476609510488e-01 7.600300118903661160e-03 8.286910713614660529e-02
9.491306969977308938e+00 2.415543112723814168e-01 6.696327415163357867e-03 7.803395663873771704e-02
1.030511793649580810e+01 2.293631447903969056e-01 5.881473561699563507e-03 7.346742561340711963e-02
1.126796986490577623e+01 2.151337075716767411e-01 5.109233711486490734e-03 6.876658485203737681e-02
1.247212620780668324e+01 2.002504853996640855e-01 4.333288295773355704e-03 6.379712461858935701e-02
1.415889137968948930e+01 1.818291328921858574e-01 3.537518104634884437e-03 5.822327057296523833e-02
1.736445492513297495e+01 1.543317069154699350e-01 2.578888309768656139e-03 5.076908022279322252e-02
