# T, C, X, magabs
-1.581205481720775552e+01 1.864276806350232685e-01 8.690695510311552581e-04 5.966783214221560439e-01
-1.430972181794810894e+01 2.042146600655475597e-01 1.084901084748110100e-03 5.914754691936771058e-01
-1.300769988525642162e+01 2.195181744435080462e-01 9.983719859715297490e-04 5.863995158000390173e-01
-1.184339181083019632e+01 2.329758702013198235e-01 2.731145528197039419e-04 5.817677083283442352e-01
-1.078341241690811003e+01 2.482458242407321602e-01 3.085574762487136363e-04 5.766283055172857219e-01
-9.802722820169181617e+00 2.655965192701303379e-01 4.681639885772180347e-04 5.711716556191247518e-01
-8.888803578952897411e+00 2.805979906011574210e-01 4.460216078422502787e-04 5.657150057209637817e-01
-8.029135251598770395e+00 2.983178493545853849e-01 5.447176803332667286e-04 5.598142099008595052e-01
-7.207025249226120422e+00 3.163061908163986025e-01 6.648004209061802484e-04 5.535327175762323471e-01
-6.422473571834984796e+00 3.354355837888493008e-01 8.247092182959127804e-04 5.468070793296619936e-01
-5.671307072205152622e+00 3.565114763970931300e-01 1.030338631196414797e-03 5.395738457437276869e-01
-4.941006308676156422e+00 3.790975842400041151e-01 1.307307318546778755e-03 5.315792191487477281e-01
-4.231571281247994420e+00 4.061807774483683908e-01 1.751515216021659691e-03 5.225059524576196601e-01
-3.538828842700494359e+00 4.325927638857695601e-01 2.306888444763221472e-03 5.122905962529230584e-01
-2.862778993033654906e+00 4.689050501948776040e-01 3.483079618002256177e-03 5.000448586907711990e-01
-2.199248585027320235e+00 5.083048876504162594e-01 5.186682651819241562e-03 4.855783915189026412e-01
-1.544064471461297661e+00 5.626726360984338760e-01 8.383498316838365952e-03 4.669877122147031434e-01
-8.972266523356239309e-01 6.284173393142773456e-01 1.536348709439406927e-02 4.418617429161946775e-01
-2.587351276502806163e-01 6.959743008117214025e-01 2.463577906250873431e-02 4.089949446923881182e-01
3.755832498149067611e-01 7.387637324606241007e-01 3.613024408697741024e-02 3.658493408464644769e-01
1.009901627280094027e+00 7.358439830069344323e-01 4.402600545752402561e-02 3.185160754507894154e-01
1.640046857525106816e+00 6.886245866696745210e-01 4.748920983275052576e-02 2.666779014182605323e-01
2.274365234990294304e+00 6.161678157441993209e-01 4.391461341246142430e-02 2.239129940768597171e-01
2.908683612455481349e+00 5.444829326053317597e-01 3.729328586005301732e-02 1.864143883813584035e-01
3.547175137140825107e+00 4.874974777505576840e-01 3.106069689638410458e-02 1.597021836473380141e-01
4.189839809046342900e+00 4.436676756066620930e-01 2.528516294529227493e-02 1.390811229856833420e-01
4.840850775392190997e+00 4.104429404439846607e-01 2.061017333086711742e-02 1.220132296995753013e-01
5.504381183398526112e+00 3.832255058814276749e-01 1.688141152935161704e-02 1.089426497109572400e-01
6.176257885845209294e+00 3.659083711905776748e-01 1.422938911593106710e-02 9.879074292368109078e-02
6.860654029952378608e+00 3.457721680616822058e-01 1.202248145516908104e-02 9.035197040675778390e-02
7.565915910160366131e+00 3.296632055585658749e-01 1.025706112633092276e-02 8.292838856856210583e-02
8.287870379249032027e+00 3.145274928733461928e-01 8.779113890720809457e-03 7.683724449619640240e-02
9.034863731658688835e+00 3.014725211781123515e-01 7.687638105890986194e-03 7.188818993739927443e-02
9.811069114609512809e+00 2.878134633890116478e-01 6.665687885143653686e-03 6.693913537860214646e-02
1.061648652810148441e+01 2.765371896368301607e-01 5.859720340643891252e-03 6.275147382885074010e-02
1.146780856101528201e+01 2.655293985930340384e-01 5.163708987165897130e-03 5.907140761846313426e-02
1.236503521335090383e+01 2.541860041637563072e-01 4.559743434831896834e-03 5.564513907775742868e-02
1.332068592676884045e+01 2.434802561668935883e-01 4.023716450008941667e-03 5.247266820673363030e-02
1.435562643736992783e+01 2.323717841074529611e-01 3.556988315472558310e-03 4.949054558797125886e-02
1.548654933403483902e+01 2.220351998346199729e-01 3.135754082651022456e-03 4.663532180404984101e-02
1.674266664730469145e+01 2.115308138690462081e-01 2.780191279381319294e-03 4.416079452465127703e-02
1.817822929104169205e+01 1.995833333459016146e-01 2.430296321009645273e-03 4.149591899299128611e-02
1.987670020964913320e+01 1.875687321456606660e-01 2.093928619127934793e-03 3.883104346133129520e-02
2.200083214471345983e+01 1.751514068828418647e-01 1.786051284266984606e-03 3.616616792967130428e-02
2.497628611269158228e+01 1.586397203171476256e-01 1.457996421569050316e-03 3.299369705864750590e-02
3.063090059601607607e+01 1.345769575781176064e-01 1.054521436094673064e-03 2.874258609147561580e-02
