                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9511                        3.8073                       -0.0492                        0.9731                        0.9864                        0.1990                        0.1087
                        1.7066                       -1.8960                        3.5955                       -0.0291                        0.9397                        0.9694                        0.3467                        0.0711
                        1.7885                       -1.8643                        3.4766                        0.0863                        0.9191                        0.9586                        0.4273                        0.1073
                        1.8439                       -1.8389                        3.3829                        0.0285                        0.9017                        0.9495                        0.4895                        0.1438
                        1.8871                       -1.8167                        3.3021                        0.0659                        0.8860                        0.9411                        0.5443                        0.1834
                        1.9231                       -1.7962                        3.2279                       -0.0373                        0.8708                        0.9330                        0.5963                        0.2283
                        1.9543                       -1.7766                        3.1584                       -0.0648                        0.8559                        0.9249                        0.6468                        0.2813
                        1.9822                       -1.7582                        3.0932                        0.0367                        0.8413                        0.9169                        0.6919                        0.3388
                        2.0076                       -1.7401                        3.0302                       -0.0364                        0.8266                        0.9089                        0.7383                        0.4049
                        2.0311                       -1.7221                        2.9682                        0.1261                        0.8114                        0.9004                        0.7856                        0.4893
                        2.0530                       -1.7044                        2.9077                        0.0357                        0.7959                        0.8916                        0.8376                        0.5921
                        2.0736                       -1.6864                        2.8470                        0.0351                        0.7794                        0.8822                        0.8923                        0.7369
                        2.0933                       -1.6686                        2.7874                        0.1010                        0.7626                        0.8724                        0.9425                        0.8955
                        2.1121                       -1.6502                        2.7265                        0.0518                        0.7444                        0.8618                        0.9986                        1.0850
                        2.1301                       -1.6317                        2.6662                        0.0918                        0.7253                        0.8503                        1.0651                        1.4089
                        2.1476                       -1.6124                        2.6038                        0.0259                        0.7044                        0.8375                        1.1300                        1.7813
                        2.1646                       -1.5925                        2.5405                       -0.0010                        0.6815                        0.8232                        1.2083                        2.3758
                        2.1812                       -1.5719                        2.4756                       -0.0311                        0.6565                        0.8069                        1.2982                        3.2219
                        2.1974                       -1.5504                        2.4089                        0.0300                        0.6293                        0.7888                        1.3818                        4.1927
                        2.2133                       -1.5272                        2.3380                        0.0284                        0.5966                        0.7655                        1.5087                        6.1948
                        2.2290                       -1.5028                        2.2647                        0.0002                        0.5614                        0.7398                        1.6132                        8.1617
                        2.2445                       -1.4765                        2.1869                       -0.0173                        0.5201                        0.7073                        1.7489                       11.4046
                        2.2598                       -1.4491                        2.1073                       -0.0238                        0.4754                        0.6704                        1.8570                       14.8547
                        2.2750                       -1.4204                        2.0252                        0.0022                        0.4267                        0.6279                        1.9361                       18.5276
                        2.2902                       -1.3910                        1.9428                       -0.0069                        0.3765                        0.5814                        1.9668                       21.7999
                        2.3053                       -1.3610                        1.8602                       -0.0017                        0.3240                        0.5301                        1.9382                       24.2017
                        2.3205                       -1.3326                        1.7835                       -0.0046                        0.2779                        0.4823                        1.8595                       25.2829
                        2.3357                       -1.3043                        1.7087                        0.0050                        0.2315                        0.4310                        1.7524                       25.4003
                        2.3510                       -1.2792                        1.6432                        0.0070                        0.1954                        0.3895                        1.6190                       24.0886
                        2.3664                       -1.2555                        1.5827                        0.0072                        0.1642                        0.3514                        1.4850                       22.3178
                        2.3820                       -1.2330                        1.5261                        0.0002                        0.1365                        0.3157                        1.3603                       20.0320
                        2.3979                       -1.2123                        1.4753                       -0.0007                        0.1155                        0.2868                        1.2615                       17.9640
                        2.4140                       -1.1928                        1.4280                        0.0047                        0.0975                        0.2609                        1.1691                       15.8151
                        2.4304                       -1.1741                        1.3834                        0.0003                        0.0832                        0.2391                        1.0849                       13.8611
                        2.4473                       -1.1564                        1.3419                       -0.0002                        0.0714                        0.2199                        1.0201                       12.1789
                        2.4646                       -1.1390                        1.3019                       -0.0018                        0.0621                        0.2042                        0.9655                       10.7398
                        2.4825                       -1.1222                        1.2637                       -0.0002                        0.0541                        0.1896                        0.9130                        9.4487
                        2.5011                       -1.1059                        1.2271                       -0.0007                        0.0479                        0.1778                        0.8735                        8.4321
                        2.5204                       -1.0891                        1.1903                        0.0013                        0.0421                        0.1664                        0.8306                        7.4080
                        2.5408                       -1.0728                        1.1549                        0.0002                        0.0375                        0.1566                        0.7941                        6.6058
                        2.5623                       -1.0559                        1.1187                       -0.0009                        0.0332                        0.1472                        0.7598                        5.8446
                        2.5852                       -1.0389                        1.0831                       -0.0002                        0.0296                        0.1387                        0.7275                        5.2133
                        2.6100                       -1.0213                        1.0467                        0.0005                        0.0263                        0.1306                        0.6919                        4.6091
                        2.6371                       -1.0031                        1.0097                       -0.0004                        0.0236                        0.1234                        0.6632                        4.1021
                        2.6672                       -0.9836                        0.9709                       -0.0003                        0.0209                        0.1162                        0.6281                        3.6142
                        2.7016                       -0.9626                        0.9299                        0.0002                        0.0186                        0.1094                        0.5964                        3.1744
                        2.7423                       -0.9391                        0.8852                       -0.0000                        0.0163                        0.1024                        0.5594                        2.7576
                        2.7932                       -0.9117                        0.8343                        0.0005                        0.0141                        0.0950                        0.5207                        2.3388
                        2.8645                       -0.8765                        0.7712                        0.0003                        0.0117                        0.0867                        0.4728                        1.9093
                        3.0000                       -0.8173                        0.6707                       -0.0000                        0.0089                        0.0756                        0.4013                        1.3919
