 # temperature =    2.3053200000000000     
 # seed =     21952079
 # Niter =        80000
 # skipIter =         8000
 # height =           48
 # width =           48
 #
#         Iter        Energy   Energ Check Magnetization
        000001       -1408.0           -32
        000002       -1876.0          -150
        000003       -2172.0          -240
        000004       -2344.0          -186
        000005       -2316.0          -150
        000006       -2564.0          -170
        000007       -2568.0          -200
        000008       -2536.0          -152
        000009       -2620.0          -182
        000010       -2780.0          -180
        000011       -2692.0          -304
        000012       -2796.0          -308
        000013       -2736.0          -332
        000014       -2712.0          -332
        000015       -2708.0          -360
        000016       -2752.0          -386
        000017       -2808.0          -462
        000018       -2944.0          -498
        000019       -2884.0          -474
        000020       -2860.0          -448
        000021       -2960.0          -516
        000022       -2980.0          -528
        000023       -2912.0          -516
        000024       -2932.0          -526
        000025       -2972.0          -608
        000026       -3036.0          -596
        000027       -3036.0          -630
        000028       -2920.0          -588
        000029       -2936.0          -502
        000030       -2884.0          -428
        000031       -2904.0          -482
        000032       -3056.0          -468
        000033       -2896.0          -404
        000034       -2976.0          -402
        000035       -2964.0          -374
        000036       -2868.0          -396
        000037       -2816.0          -422
        000038       -2992.0          -374
        000039       -2992.0          -388
        000040       -2884.0          -450
        000041       -2888.0          -508
        000042       -2964.0          -540
        000043       -2920.0          -510
        000044       -2836.0          -564
        000045       -2916.0          -580
        000046       -3008.0          -508
        000047       -2988.0          -492
        000048       -2992.0          -484
        000049       -2996.0          -524
        000050       -3056.0          -502
        000051       -3008.0          -500
        000052       -2852.0          -412
        000053       -2856.0          -312
        000054       -2836.0          -438
        000055       -2924.0          -374
        000056       -2968.0          -346
        000057       -2904.0          -440
        000058       -2864.0          -484
        000059       -2968.0          -528
        000060       -3008.0          -446
        000061       -2944.0          -490
        000062       -3036.0          -478
        000063       -2972.0          -460
        000064       -2872.0          -430
        000065       -2940.0          -514
        000066       -2956.0          -486
        000067       -2916.0          -510
        000068       -2852.0          -478
        000069       -2864.0          -482
        000070       -2932.0          -528
        000071       -2860.0          -488
        000072       -2672.0          -372
        000073       -2788.0          -506
        000074       -2856.0          -518
        000075       -2832.0          -438
        000076       -2904.0          -438
        000077       -2856.0          -462
        000078       -2880.0          -510
        000079       -2888.0          -434
        000080       -2956.0          -480
        000081       -2916.0          -480
        000082       -2876.0          -450
        000083       -2940.0          -478
        000084       -2900.0          -392
        000085       -2860.0          -410
        000086       -3024.0          -486
        000087       -2984.0          -542
        000088       -3016.0          -598
        000089       -3084.0          -574
        000090       -3052.0          -552
        000091       -3100.0          -524
        000092       -3228.0          -530
        000093       -3284.0          -624
        000094       -3176.0          -586
        000095       -3088.0          -556
        000096       -3020.0          -546
        000097       -2924.0          -524
        000098       -3084.0          -504
        000099       -2880.0          -416
        000100       -2864.0          -394
        000101       -2812.0          -358
        000102       -2840.0          -314
        000103       -2908.0          -346
        000104       -2864.0          -426
        000105       -2904.0          -430
        000106       -2960.0          -472
        000107       -2932.0          -472
        000108       -2904.0          -556
        000109       -2920.0          -560
        000110       -2940.0          -534
        000111       -2928.0          -562
        000112       -3048.0          -644
        000113       -2996.0          -640
        000114       -2964.0          -568
        000115       -3080.0          -560
        000116       -2944.0          -546
        000117       -3076.0          -610
        000118       -3180.0          -508
        000119       -3048.0          -472
        000120       -3088.0          -556
        000121       -3088.0          -534
        000122       -3048.0          -488
        000123       -3164.0          -560
        000124       -3188.0          -552
        000125       -3088.0          -572
        000126       -3072.0          -592
        000127       -3080.0          -598
        000128       -3188.0          -562
        000129       -3140.0          -564
        000130       -3044.0          -580
        000131       -2972.0          -582
        000132       -3084.0          -618
        000133       -2976.0          -580
        000134       -2948.0          -484
        000135       -2908.0          -450
        000136       -2828.0          -410
        000137       -2856.0          -490
        000138       -3020.0          -484
        000139       -2948.0          -486
        000140       -2968.0          -606
        000141       -3000.0          -648
        000142       -2988.0          -656
        000143       -3020.0          -638
        000144       -2912.0          -594
        000145       -2840.0          -544
        000146       -2780.0          -506
        000147       -2832.0          -524
        000148       -2788.0          -550
        000149       -2784.0          -384
        000150       -2708.0          -360
        000151       -2604.0          -402
        000152       -2800.0          -490
        000153       -2800.0          -562
        000154       -2884.0          -574
        000155       -2876.0          -632
        000156       -2764.0          -588
        000157       -2732.0          -510
        000158       -2744.0          -554
        000159       -2896.0          -580
        000160       -2772.0          -538
        000161       -2832.0          -536
        000162       -2848.0          -616
        000163       -2852.0          -642
        000164       -2916.0          -710
        000165       -2896.0          -686
        000166       -2948.0          -662
        000167       -2988.0          -666
        000168       -3076.0          -694
        000169       -2948.0          -670
        000170       -3060.0          -702
        000171       -3024.0          -666
        000172       -3136.0          -686
        000173       -3004.0          -710
        000174       -3020.0          -710
        000175       -2932.0          -700
        000176       -2856.0          -644
        000177       -3036.0          -638
        000178       -3016.0          -686
        000179       -2992.0          -690
        000180       -2868.0          -650
        000181       -2932.0          -660
        000182       -2968.0          -694
        000183       -3004.0          -678
        000184       -3088.0          -692
        000185       -3028.0          -684
        000186       -2960.0          -622
        000187       -3144.0          -594
        000188       -3084.0          -630
        000189       -3200.0          -660
        000190       -3228.0          -622
        000191       -2880.0          -586
        000192       -2920.0          -556
        000193       -2920.0          -562
        000194       -2972.0          -620
        000195       -2940.0          -580
        000196       -2804.0          -540
        000197       -3000.0          -624
        000198       -3076.0          -658
        000199       -3108.0          -700
