# L, T_max_C, errC, T_max_X, errX, maxC, maxX, critMagabsC, critMagabsX
1.200000000000000000e+01 2.335700000000000109e+00 4.776336752962311721e-02 2.447299999999999809e+00 4.462353821092984729e-02 2.233450658442574621e+00 2.315938714585712876e+00 6.657999999999999474e-01 5.368000000000000549e-01
2.400000000000000000e+01 2.305299999999999905e+00 2.975592429578771680e-02 2.350999999999999979e+00 2.629638320469601317e-02 2.976412810233843853e+00 3.195023561193803374e+00 6.009999999999999787e-01 4.978000000000000203e-01
3.600000000000000000e+01 2.290200000000000014e+00 2.347601809612566079e-02 2.335700000000000109e+00 1.917109284665621458e-02 3.479140291593534773e+00 4.251726659396634744e+00 5.814000000000000279e-01 4.309999999999999942e-01
4.800000000000000000e+01 2.290200000000000014e+00 2.012583122772740665e-02 2.305299999999999905e+00 1.530187685272722461e-02 3.843111275636862167e+00 5.336258795490600448e+00 5.344999999999999751e-01 4.716000000000000192e-01
6.000000000000000000e+01 2.274999999999999911e+00 1.778596289442780851e-02 2.305299999999999905e+00 1.342266979349501961e-02 4.104792780792342555e+00 6.521417535260471965e+00 5.766000000000000014e-01 4.203000000000000069e-01
7.200000000000000000e+01 2.274999999999999911e+00 1.481203860892436018e-02 2.290200000000000014e+00 1.610427751745310485e-02 4.702707865473184867e+00 7.064800007006454052e+00 5.608999999999999542e-01 4.643999999999999795e-01
