                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9509                        3.8061                        0.0387                        0.9714                        0.9850                        0.2301                        1.8946
                        1.7066                       -1.8959                        3.5948                       -0.0001                        0.9394                        0.9691                        0.3521                        0.2482
                        1.7885                       -1.8643                        3.4761                        0.0575                        0.9190                        0.9586                        0.4260                        0.1068
                        1.8439                       -1.8390                        3.3826                        0.0095                        0.9017                        0.9495                        0.4883                        0.1435
                        1.8871                       -1.8167                        3.3012                        0.0188                        0.8859                        0.9411                        0.5447                        0.1833
                        1.9231                       -1.7962                        3.2271                       -0.0093                        0.8707                        0.9330                        0.5955                        0.2275
                        1.9543                       -1.7768                        3.1580                       -0.1202                        0.8558                        0.9250                        0.6423                        0.2789
                        1.9822                       -1.7582                        3.0924                        0.0825                        0.8411                        0.9170                        0.6937                        0.3388
                        2.0076                       -1.7400                        3.0288                       -0.0182                        0.8262                        0.9087                        0.7392                        0.4081
                        2.0311                       -1.7221                        2.9669                        0.0541                        0.8110                        0.9003                        0.7899                        0.4933
                        2.0530                       -1.7043                        2.9063                       -0.0177                        0.7953                        0.8915                        0.8382                        0.6008
                        2.0736                       -1.6864                        2.8457                        0.0265                        0.7789                        0.8822                        0.8874                        0.7224
                        2.0933                       -1.6684                        2.7854                        0.0175                        0.7617                        0.8723                        0.9420                        0.8852
                        2.1121                       -1.6504                        2.7257                        0.0259                        0.7440                        0.8620                        0.9990                        1.0825
                        2.1301                       -1.6316                        2.6642                       -0.0170                        0.7242                        0.8502                        1.0636                        1.3896
                        2.1476                       -1.6124                        2.6022                        0.0502                        0.7033                        0.8376                        1.1321                        1.7542
                        2.1646                       -1.5927                        2.5392                       -0.0319                        0.6801                        0.8234                        1.2067                        2.3348
                        2.1812                       -1.5718                        2.4732                        0.0097                        0.6540                        0.8068                        1.2992                        3.2876
                        2.1974                       -1.5502                        2.4059                       -0.0001                        0.6255                        0.7882                        1.3946                        4.5385
                        2.2133                       -1.5270                        2.3350                       -0.0173                        0.5920                        0.7652                        1.5196                        6.7963
                        2.2290                       -1.5020                        2.2597                        0.0815                        0.5521                        0.7361                        1.6627                       10.6688
                        2.2445                       -1.4752                        2.1801                        0.0358                        0.5060                        0.7005                        1.8135                       15.6911
                        2.2598                       -1.4459                        2.0951                        0.0442                        0.4511                        0.6543                        1.9796                       23.4238
                        2.2750                       -1.4156                        2.0086                       -0.0093                        0.3922                        0.6011                        2.0817                       31.2566
                        2.2902                       -1.3826                        1.9165                        0.0221                        0.3242                        0.5345                        2.1156                       38.7930
                        2.3053                       -1.3517                        1.8318                       -0.0023                        0.2645                        0.4716                        2.0339                       42.0939
                        2.3205                       -1.3222                        1.7525                       -0.0052                        0.2099                        0.4101                        1.8651                       41.4103
                        2.3357                       -1.2953                        1.6819                       -0.0041                        0.1659                        0.3561                        1.6982                       38.5464
                        2.3510                       -1.2706                        1.6181                        0.0061                        0.1306                        0.3096                        1.5266                       34.0553
                        2.3664                       -1.2481                        1.5611                       -0.0005                        0.1039                        0.2719                        1.3910                       29.1696
                        2.3820                       -1.2272                        1.5093                       -0.0019                        0.0833                        0.2403                        1.2694                       24.7661
                        2.3979                       -1.2080                        1.4622                        0.0008                        0.0688                        0.2162                        1.1849                       21.1624
                        2.4140                       -1.1896                        1.4181                       -0.0003                        0.0573                        0.1961                        1.1094                       17.9712
                        2.4304                       -1.1720                        1.3761                        0.0011                        0.0481                        0.1786                        1.0405                       15.3169
                        2.4473                       -1.1549                        1.3363                       -0.0005                        0.0411                        0.1647                        0.9885                       13.1735
                        2.4646                       -1.1381                        1.2978                       -0.0022                        0.0354                        0.1523                        0.9435                       11.4037
                        2.4825                       -1.1217                        1.2606                       -0.0010                        0.0308                        0.1418                        0.9034                        9.9449
                        2.5011                       -1.1053                        1.2240                        0.0001                        0.0270                        0.1324                        0.8647                        8.7341
                        2.5204                       -1.0889                        1.1879                       -0.0004                        0.0239                        0.1243                        0.8265                        7.6815
                        2.5408                       -1.0724                        1.1523                        0.0000                        0.0210                        0.1165                        0.7910                        6.7614
                        2.5623                       -1.0558                        1.1168                        0.0000                        0.0187                        0.1098                        0.7579                        5.9807
                        2.5852                       -1.0389                        1.0813                        0.0006                        0.0167                        0.1037                        0.7227                        5.2932
                        2.6100                       -1.0213                        1.0451                       -0.0001                        0.0149                        0.0978                        0.6933                        4.6880
                        2.6371                       -1.0030                        1.0080                        0.0001                        0.0132                        0.0921                        0.6591                        4.1447
                        2.6672                       -0.9835                        0.9693                        0.0001                        0.0118                        0.0869                        0.6270                        3.6512
                        2.7016                       -0.9625                        0.9283                        0.0000                        0.0104                        0.0816                        0.5937                        3.1780
                        2.7423                       -0.9392                        0.8838                       -0.0002                        0.0092                        0.0765                        0.5607                        2.7699
                        2.7932                       -0.9116                        0.8328                       -0.0002                        0.0079                        0.0711                        0.5204                        2.3505
                        2.8645                       -0.8764                        0.7698                       -0.0001                        0.0066                        0.0649                        0.4728                        1.9152
                        3.0000                       -0.8173                        0.6695                        0.0001                        0.0050                        0.0566                        0.4018                        1.3944
