                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9448                    19610.1932                        0.0071                     4708.3704                        0.9319                        1.3632                     3138.7386
                        1.7066                       -1.8942                    18601.6940                       -0.0000                     4787.2931                        0.9554                        0.6239                     2805.1970
                        1.7885                       -1.8625                    17984.3412                       -0.0449                     4678.0631                        0.9440                        0.7014                     2609.8155
                        1.8439                       -1.8378                    17510.6561                        0.0647                     4620.2368                        0.9404                        0.6608                     2493.8949
                        1.8871                       -1.8156                    17091.7335                        0.0019                     4547.5419                        0.9336                        0.6847                     2409.8201
                        1.9231                       -1.7956                    16715.8964                       -0.0370                     4486.1101                        0.9284                        0.6819                     2329.0870
                        1.9543                       -1.7766                    16364.7683                        0.0460                     4427.5748                        0.9236                        0.6706                     2259.9307
                        1.9822                       -1.7579                    16022.5176                        0.0544                     4348.6444                        0.9151                        0.7268                     2186.0954
                        2.0076                       -1.7400                    15697.4429                       -0.0363                     4281.7358                        0.9087                        0.7395                     2129.3459
                        2.0311                       -1.7220                    15375.5135                        0.0449                     4198.7929                        0.8995                        0.7993                     2062.1405
                        2.0530                       -1.7042                    15059.0982                       -0.0449                     4118.4759                        0.8910                        0.8471                     2001.0093
                        2.0736                       -1.6864                    14747.0780                       -0.0352                     4035.8902                        0.8821                        0.8893                     1943.1990
                        2.0933                       -1.6684                    14434.7444                        0.0174                     3946.9849                        0.8724                        0.9416                     1884.7987
                        2.1121                       -1.6502                    14121.2522                       -0.0597                     3849.4568                        0.8612                        1.0082                     1813.8482
                        2.1301                       -1.6316                    13805.1700                        0.0765                     3750.2757                        0.8502                        1.0585                     1746.3286
                        2.1476                       -1.6124                    13483.2827                        0.0251                     3640.8642                        0.8376                        1.1298                     1693.7665
                        2.1646                       -1.5926                    13153.9723                       -0.1400                     3519.4587                        0.8234                        1.2049                     1578.9769
                        2.1812                       -1.5720                    12816.6957                       -0.0240                     3385.6297                        0.8073                        1.2916                     1550.8246
                        2.1974                       -1.5503                    12465.3558                        0.0078                     3232.6278                        0.7884                        1.3890                     1470.9771
                        2.2133                       -1.5271                    12096.8685                        0.0242                     3052.3042                        0.7654                        1.5159                     1377.7025
                        2.2290                       -1.5023                    11707.7353                       -0.1469                     2836.5418                        0.7361                        1.6754                     1222.4043
                        2.2445                       -1.4742                    11275.7637                       -0.0114                     2550.9940                        0.6942                        1.8962                     1136.2806
                        2.2598                       -1.4436                    10814.9214                        0.0346                     2204.8865                        0.6380                        2.1266                      972.9582
                        2.2750                       -1.4099                    10316.8981                       -0.0054                     1778.0746                        0.5609                        2.2743                      781.5024
                        2.2902                       -1.3744                     9804.4429                       -0.0010                     1312.6056                        0.4644                        2.2632                      573.1430
                        2.3053                       -1.3421                     9348.3065                        0.0114                      933.5101                        0.3776                        2.0418                      404.6451
                        2.3205                       -1.3134                     8951.9210                        0.0017                      655.1611                        0.3064                        1.7844                      282.3333
                        2.3357                       -1.2879                     8606.5860                       -0.0005                      457.6683                        0.2494                        1.5563                      195.9460
                        2.3510                       -1.2652                     8305.8637                        0.0048                      335.3792                        0.2104                        1.4015                      142.6052
                        2.3664                       -1.2446                     8037.5713                        0.0018                      255.4526                        0.1817                        1.2891                      107.9420
                        2.3820                       -1.2249                     7784.1755                       -0.0019                      198.4050                        0.1589                        1.2032                       83.2847
                        2.3979                       -1.2065                     7553.0963                        0.0023                      162.8438                        0.1437                        1.1390                       67.9010
                        2.4140                       -1.1886                     7330.5345                        0.0006                      131.8795                        0.1287                        1.0770                       54.6313
                        2.4304                       -1.1714                     7118.8779                        0.0004                      110.6619                        0.1176                        1.0298                       45.5318
                        2.4473                       -1.1544                     6914.8380                        0.0008                       94.9052                        0.1087                        0.9780                       38.7788
                        2.4646                       -1.1379                     6717.5017                        0.0000                       82.1664                        0.1011                        0.9369                       33.3388
                        2.4825                       -1.1216                     6526.4152                        0.0007                       71.7479                        0.0944                        0.8962                       28.9008
                        2.5011                       -1.1052                     6337.2961                        0.0004                       62.1048                        0.0876                        0.8574                       24.8311
                        2.5204                       -1.0889                     6151.7916                       -0.0003                       54.7958                        0.0824                        0.8251                       21.7404
                        2.5408                       -1.0725                     5967.6483                        0.0008                       48.6837                        0.0776                        0.7914                       19.1597
                        2.5623                       -1.0558                     5783.8250                       -0.0002                       43.2332                        0.0731                        0.7571                       16.8729
                        2.5852                       -1.0388                     5599.1485                       -0.0003                       38.4637                        0.0689                        0.7243                       14.8780
                        2.6100                       -1.0213                     5412.2101                       -0.0000                       34.2749                        0.0650                        0.6929                       13.1322
                        2.6371                       -1.0029                     5219.1807                       -0.0001                       30.4285                        0.0612                        0.6620                       11.5387
                        2.6672                       -0.9836                     5020.2615                        0.0002                       27.2620                        0.0579                        0.6283                       10.2211
                        2.7016                       -0.9625                     4807.2690                       -0.0001                       24.0142                        0.0544                        0.5946                        8.8888
                        2.7423                       -0.9391                     4576.2992                        0.0001                       21.0655                        0.0509                        0.5607                        7.6817
                        2.7932                       -0.9116                     4312.1400                       -0.0002                       18.2332                        0.0474                        0.5214                        6.5275
                        2.8645                       -0.8763                     3984.6610                       -0.0001                       15.2933                        0.0434                        0.4724                        5.3389
                        3.0000                       -0.8173                     3466.2973                        0.0001                       11.6012                        0.0378                        0.4004                        3.8670
