                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9511                     2193.1935                        0.0000                      560.5918                        0.9865                        0.1982                      373.7279
                        1.7066                       -1.8959                     2071.3739                        0.0097                      541.3307                        0.9693                        0.3472                      317.1704
                        1.7885                       -1.8641                     2002.9878                       -0.0192                      529.4379                        0.9586                        0.4278                      295.9084
                        1.8439                       -1.8390                     1949.6499                       -0.0190                      519.5841                        0.9495                        0.4903                      281.6715
                        1.8871                       -1.8166                     1902.8129                        0.0471                      510.4777                        0.9411                        0.5441                      269.8362
                        1.9231                       -1.7961                     1860.3906                       -0.0560                      501.8228                        0.9330                        0.5949                      260.0084
                        1.9543                       -1.7769                     1821.0924                       -0.0647                      493.4163                        0.9250                        0.6439                      251.2410
                        1.9822                       -1.7581                     1783.0407                        0.0734                      484.9220                        0.9169                        0.6938                      243.0724
                        2.0076                       -1.7400                     1746.7966                       -0.0092                      476.5282                        0.9088                        0.7378                      237.3368
                        2.0311                       -1.7221                     1711.3977                       -0.0450                      467.9429                        0.9004                        0.7863                      229.8191
                        2.0530                       -1.7043                     1676.6823                        0.0301                      459.0572                        0.8915                        0.8372                      223.3530
                        2.0736                       -1.6864                     1641.8669                       -0.0321                      449.7680                        0.8822                        0.8924                      216.6132
                        2.0933                       -1.6684                     1607.5248                        0.0084                      440.1792                        0.8723                        0.9476                      210.2627
                        2.1121                       -1.6502                     1572.9526                        0.0253                      429.9386                        0.8615                        1.0036                      203.3886
                        2.1301                       -1.6314                     1537.9061                       -0.0267                      419.0938                        0.8500                        1.0665                      196.5515
                        2.1476                       -1.6124                     1502.6833                        0.0514                      407.7400                        0.8375                        1.1275                      189.1471
                        2.1646                       -1.5927                     1466.7131                       -0.0046                      395.1335                        0.8232                        1.2068                      182.5353
                        2.1812                       -1.5721                     1429.6798                       -0.0084                      381.8360                        0.8077                        1.2781                      175.0397
                        2.1974                       -1.5511                     1392.3101                        0.0442                      367.6623                        0.7908                        1.3510                      166.8050
                        2.2133                       -1.5288                     1353.2260                        0.0231                      351.9276                        0.7711                        1.4385                      158.8669
                        2.2290                       -1.5051                     1312.4386                       -0.0068                      334.2162                        0.7481                        1.5264                      149.9299
                        2.2445                       -1.4813                     1271.9032                        0.0127                      316.5687                        0.7246                        1.5944                      141.0035
                        2.2598                       -1.4560                     1229.5398                        0.0087                      296.6743                        0.6967                        1.6681                      131.2648
                        2.2750                       -1.4298                     1186.3962                       -0.0059                      275.6752                        0.6659                        1.7216                      121.1666
                        2.2902                       -1.4039                     1144.4564                        0.0082                      255.2008                        0.6351                        1.7513                      111.4156
                        2.3053                       -1.3772                     1101.8258                        0.0032                      233.4608                        0.6010                        1.7593                      101.2679
                        2.3205                       -1.3506                     1060.0077                        0.0054                      212.0231                        0.5663                        1.7331                       91.3636
                        2.3357                       -1.3245                     1019.6986                       -0.0084                      191.8196                        0.5322                        1.6992                       82.1083
                        2.3510                       -1.2990                      980.8954                        0.0038                      171.9200                        0.4978                        1.6326                       73.1238
                        2.3664                       -1.2741                      943.8154                       -0.0032                      153.4359                        0.4641                        1.5629                       64.8366
                        2.3820                       -1.2510                      909.7537                       -0.0037                      137.0321                        0.4334                        1.4768                       57.5244
                        2.3979                       -1.2279                      876.5076                        0.0021                      121.3941                        0.4028                        1.3890                       50.6251
                        2.4140                       -1.2063                      845.7615                       -0.0004                      107.5388                        0.3750                        1.2974                       44.5487
                        2.4304                       -1.1857                      817.0056                        0.0014                       95.5308                        0.3500                        1.2165                       39.3060
                        2.4473                       -1.1656                      789.3541                        0.0013                       84.4135                        0.3258                        1.1318                       34.4927
                        2.4646                       -1.1468                      763.9195                       -0.0011                       75.2270                        0.3051                        1.0633                       30.5229
                        2.4825                       -1.1284                      739.5344                       -0.0005                       66.9670                        0.2859                        0.9984                       26.9758
                        2.5011                       -1.1105                      716.2172                       -0.0004                       59.7730                        0.2685                        0.9341                       23.8991
                        2.5204                       -1.0929                      693.6304                       -0.0023                       53.1406                        0.2514                        0.8832                       21.0827
                        2.5408                       -1.0756                      671.7723                        0.0003                       47.6002                        0.2369                        0.8339                       18.7346
                        2.5623                       -1.0579                      649.8752                       -0.0009                       42.4960                        0.2228                        0.7899                       16.5850
                        2.5852                       -1.0404                      628.5002                       -0.0004                       38.1022                        0.2103                        0.7465                       14.7383
                        2.6100                       -1.0223                      606.8070                        0.0002                       33.9685                        0.1979                        0.7090                       13.0147
                        2.6371                       -1.0039                      585.2041                       -0.0003                       30.4595                        0.1868                        0.6723                       11.5505
                        2.6672                       -0.9841                      562.3688                        0.0012                       27.2002                        0.1762                        0.6350                       10.1976
                        2.7016                       -0.9631                      538.6283                        0.0000                       24.0508                        0.1652                        0.6005                        8.9024
                        2.7423                       -0.9392                      512.3053                       -0.0005                       21.0532                        0.1543                        0.5619                        7.6772
                        2.7932                       -0.9117                      482.8177                        0.0000                       18.2462                        0.1433                        0.5224                        6.5323
                        2.8645                       -0.8763                      446.1920                       -0.0001                       15.2443                        0.1307                        0.4730                        5.3218
                        3.0000                       -0.8173                      388.3966                       -0.0002                       11.5374                        0.1135                        0.4021                        3.8458
