                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9511                      548.6403                        0.0000                      140.1790                        0.9865                        0.1977                       93.4527
                        1.7066                       -1.8960                      518.6884                       -0.0291                      135.4291                        0.9693                        0.3477                       79.2858
                        1.7885                       -1.8644                      501.9242                       -0.0690                      132.5362                        0.9587                        0.4256                       73.7225
                        1.8439                       -1.8389                      488.6358                        0.0375                      130.0890                        0.9495                        0.4901                       70.4408
                        1.8871                       -1.8166                      477.1647                       -0.0950                      127.8707                        0.9410                        0.5466                       67.0720
                        1.9231                       -1.7960                      466.7127                       -0.0081                      125.7526                        0.9328                        0.5979                       65.3867
                        1.9543                       -1.7770                      457.1848                       -0.0114                      123.7496                        0.9249                        0.6466                       63.3115
                        1.9822                       -1.7582                      447.8314                       -0.0083                      121.7489                        0.9170                        0.6903                       61.4155
                        2.0076                       -1.7398                      438.8567                       -0.0526                      119.6841                        0.9085                        0.7421                       59.4165
                        2.0311                       -1.7221                      430.2997                       -0.0102                      117.6678                        0.9001                        0.7865                       57.9268
                        2.0530                       -1.7042                      421.7476                        0.0524                      115.5969                        0.8914                        0.8345                       56.1146
                        2.0736                       -1.6864                      413.3113                        0.0581                      113.4642                        0.8821                        0.8835                       54.4835
                        2.0933                       -1.6686                      404.9798                        0.0204                      111.3325                        0.8728                        0.9287                       53.1571
                        2.1121                       -1.6507                      396.7373                        0.0318                      109.0818                        0.8627                        0.9764                       51.5780
                        2.1301                       -1.6328                      388.5448                        0.0021                      106.7963                        0.8522                        1.0235                       50.1353
                        2.1476                       -1.6142                      380.1867                       -0.0118                      104.4358                        0.8412                        1.0749                       48.6189
                        2.1646                       -1.5962                      372.0757                        0.0117                      102.1321                        0.8304                        1.1059                       47.1731
                        2.1812                       -1.5775                      363.8403                        0.0067                       99.6540                        0.8184                        1.1553                       45.6849
                        2.1974                       -1.5581                      355.3590                       -0.0130                       97.0555                        0.8056                        1.1991                       44.1574
                        2.2133                       -1.5385                      346.9041                       -0.0088                       94.3771                        0.7921                        1.2402                       42.6359
                        2.2290                       -1.5192                      338.6880                       -0.0077                       91.7577                        0.7787                        1.2753                       41.1621
                        2.2445                       -1.4986                      330.0196                       -0.0033                       88.8639                        0.7635                        1.3128                       39.5920
                        2.2598                       -1.4784                      321.5615                       -0.0029                       86.0366                        0.7486                        1.3385                       38.0723
                        2.2750                       -1.4579                      313.1277                        0.0123                       83.1937                        0.7332                        1.3636                       36.5589
                        2.2902                       -1.4373                      304.7241                       -0.0084                       80.3168                        0.7174                        1.3800                       35.0656
                        2.3053                       -1.4159                      296.1099                       -0.0024                       77.3235                        0.7006                        1.3960                       33.5410
                        2.3205                       -1.3948                      287.6628                       -0.0011                       74.2680                        0.6831                        1.3986                       32.0055
                        2.3357                       -1.3732                      279.2037                       -0.0011                       71.2586                        0.6658                        1.4077                       30.5086
                        2.3510                       -1.3518                      270.8965                        0.0018                       68.2156                        0.6479                        1.4015                       29.0157
                        2.3664                       -1.3312                      262.9822                       -0.0031                       65.3414                        0.6307                        1.3908                       27.6114
                        2.3820                       -1.3091                      254.5388                        0.0032                       62.2301                        0.6119                        1.3700                       26.1243
                        2.3979                       -1.2875                      246.4676                        0.0022                       59.2878                        0.5937                        1.3520                       24.7251
                        2.4140                       -1.2660                      238.4993                       -0.0029                       56.2963                        0.5749                        1.3231                       23.3206
                        2.4304                       -1.2454                      230.9446                        0.0009                       53.4286                        0.5567                        1.2889                       21.9833
                        2.4473                       -1.2231                      222.9442                       -0.0002                       50.4094                        0.5368                        1.2565                       20.5983
                        2.4646                       -1.2018                      215.3617                        0.0013                       47.6390                        0.5185                        1.2160                       19.3293
                        2.4825                       -1.1805                      207.9062                        0.0029                       44.8650                        0.4999                        1.1714                       18.0722
                        2.5011                       -1.1587                      200.3337                       -0.0048                       42.0387                        0.4803                        1.1205                       16.8071
                        2.5204                       -1.1369                      192.9766                       -0.0000                       39.3172                        0.4612                        1.0761                       15.5994
                        2.5408                       -1.1163                      186.0679                        0.0010                       36.8101                        0.4434                        1.0261                       14.4877
                        2.5623                       -1.0947                      178.9227                        0.0006                       34.2541                        0.4250                        0.9689                       13.3686
                        2.5852                       -1.0730                      171.9354                        0.0010                       31.7988                        0.4065                        0.9194                       12.3001
                        2.6100                       -1.0511                      164.9668                        0.0008                       29.3781                        0.3881                        0.8643                       11.2559
                        2.6371                       -1.0283                      157.9022                        0.0008                       27.0046                        0.3694                        0.8103                       10.2403
                        2.6672                       -1.0048                      150.7741                        0.0007                       24.7264                        0.3513                        0.7571                        9.2704
                        2.7016                       -0.9798                      143.3248                       -0.0004                       22.3548                        0.3316                        0.6973                        8.2746
                        2.7423                       -0.9526                      135.5041                        0.0002                       20.0488                        0.3120                        0.6434                        7.3110
                        2.7932                       -0.9216                      126.8161                        0.0007                       17.5918                        0.2901                        0.5794                        6.2980
                        2.8645                       -0.8829                      116.4509                       -0.0002                       14.9753                        0.2656                        0.5122                        5.2279
                        3.0000                       -0.8206                      100.7113                       -0.0001                       11.5151                        0.2307                        0.4172                        3.8384
