                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9486                    13670.0833                        0.0032                     3423.8344                        0.9680                        0.6116                     2282.5320
                        1.7066                       -1.8948                    12926.6386                        0.0243                     3352.4567                        0.9621                        0.4918                     1963.1831
                        1.7885                       -1.8637                    12505.8524                        0.0762                     3291.3789                        0.9544                        0.5046                     1828.6237
                        1.8439                       -1.8386                    12171.4948                        0.1132                     3237.3774                        0.9474                        0.5264                     1730.6972
                        1.8871                       -1.8165                    11881.4181                        0.0840                     3185.9026                        0.9404                        0.5555                     1674.8081
                        1.9231                       -1.7960                    11614.8667                        0.0563                     3131.0490                        0.9322                        0.6085                     1622.2272
                        1.9543                       -1.7766                    11365.7964                       -0.0463                     3077.7797                        0.9242                        0.6541                     1570.9037
                        1.9822                       -1.7581                    11130.5815                       -0.0917                     3027.3110                        0.9169                        0.6942                     1511.9695
                        2.0076                       -1.7400                    10902.8945                        0.0454                     2973.9573                        0.9088                        0.7397                     1477.6416
                        2.0311                       -1.7221                    10679.2526                       -0.0629                     2918.5063                        0.9002                        0.7914                     1429.9155
                        2.0530                       -1.7043                    10460.3627                        0.0803                     2862.8413                        0.8916                        0.8361                     1383.1934
                        2.0736                       -1.6865                    10242.9822                        0.0794                     2803.6955                        0.8823                        0.8889                     1341.1378
                        2.0933                       -1.6684                    10025.2855                        0.0088                     2741.4534                        0.8724                        0.9425                     1309.5130
                        2.1121                       -1.6503                     9809.0507                        0.0172                     2676.2902                        0.8618                        0.9995                     1266.6355
                        2.1301                       -1.6317                     9589.7544                       -0.0340                     2606.3474                        0.8504                        1.0623                     1221.5984
                        2.1476                       -1.6125                     9366.2421                        0.0754                     2530.3695                        0.8378                        1.1296                     1168.6727
                        2.1646                       -1.5927                     9137.8982                        0.0658                     2446.3704                        0.8235                        1.2103                     1122.9466
                        2.1812                       -1.5719                     8901.7724                        0.0484                     2353.3294                        0.8074                        1.2890                     1075.0596
                        2.1974                       -1.5503                     8658.5468                       -0.0241                     2246.1860                        0.7881                        1.3972                     1021.2539
                        2.2133                       -1.5271                     8402.2949                        0.0741                     2123.9122                        0.7653                        1.5146                      950.6810
                        2.2290                       -1.5019                     8128.7663                       -0.0592                     1974.6776                        0.7360                        1.6766                      880.2457
                        2.2445                       -1.4746                     7837.1112                        0.0032                     1791.7326                        0.6964                        1.8725                      798.2785
                        2.2598                       -1.4445                     7522.3661                        0.0113                     1569.4528                        0.6446                        2.0738                      694.3078
                        2.2750                       -1.4117                     7186.1274                        0.0161                     1305.7032                        0.5766                        2.2013                      573.5242
                        2.2902                       -1.3786                     6853.4822                       -0.0044                     1040.7493                        0.5020                        2.1926                      454.4092
                        2.3053                       -1.3457                     6530.2027                        0.0071                      780.7081                        0.4203                        2.0519                      338.5767
                        2.3205                       -1.3167                     6251.4921                        0.0033                      583.0756                        0.3529                        1.8360                      251.2583
                        2.3357                       -1.2900                     5999.7585                       -0.0000                      426.1079                        0.2938                        1.6224                      182.4342
                        2.3510                       -1.2670                     5786.9736                       -0.0012                      324.6591                        0.2517                        1.4526                      138.0935
                        2.3664                       -1.2455                     5592.2235                       -0.0016                      252.1736                        0.2192                        1.3220                      106.5598
                        2.3820                       -1.2255                     5413.7612                        0.0002                      198.0768                        0.1923                        1.2230                       83.1549
                        2.3979                       -1.2067                     5248.6512                       -0.0014                      159.7069                        0.1717                        1.1419                       66.6013
                        2.4140                       -1.1890                     5095.3566                        0.0008                      132.7064                        0.1557                        1.0903                       54.9736
                        2.4304                       -1.1716                     4947.2431                        0.0020                      111.6150                        0.1424                        1.0303                       45.9183
                        2.4473                       -1.1546                     4804.9325                       -0.0009                       94.7097                        0.1307                        0.9823                       38.6991
                        2.4646                       -1.1380                     4667.5105                       -0.0004                       81.4329                        0.1211                        0.9372                       33.0409
                        2.4825                       -1.1216                     4533.9820                        0.0004                       71.4359                        0.1133                        0.8983                       28.7759
                        2.5011                       -1.1052                     4402.4813                        0.0002                       62.1150                        0.1055                        0.8576                       24.8355
                        2.5204                       -1.0888                     4273.3139                        0.0003                       54.7277                        0.0989                        0.8240                       21.7135
                        2.5408                       -1.0725                     4146.4136                       -0.0003                       48.5876                        0.0931                        0.7912                       19.1231
                        2.5623                       -1.0558                     4018.2688                        0.0000                       43.1501                        0.0877                        0.7574                       16.8405
                        2.5852                       -1.0389                     3890.1256                       -0.0004                       38.3569                        0.0827                        0.7255                       14.8367
                        2.6100                       -1.0213                     3759.7200                        0.0002                       34.1617                        0.0780                        0.6924                       13.0887
                        2.6371                       -1.0030                     3626.3051                       -0.0001                       30.3710                        0.0735                        0.6616                       11.5169
                        2.6672                       -0.9836                     3487.7059                       -0.0002                       27.2312                        0.0696                        0.6303                       10.2095
                        2.7016                       -0.9626                     3340.1805                        0.0001                       24.0643                        0.0654                        0.5947                        8.9074
                        2.7423                       -0.9392                     3179.7271                       -0.0000                       21.0971                        0.0612                        0.5589                        7.6933
                        2.7932                       -0.9116                     2995.9883                        0.0000                       18.2936                        0.0570                        0.5219                        6.5492
                        2.8645                       -0.8763                     2768.3049                       -0.0001                       15.2501                        0.0520                        0.4727                        5.3239
                        3.0000                       -0.8173                     2408.3867                       -0.0000                       11.5626                        0.0453                        0.4010                        3.8542
