1.500000000000000000e+00 2.662149080348508723e-01 2.300999999999999990e-01
1.706599999999999895e+00 3.518779836459309251e-01 3.521000000000000241e-01
1.788499999999999979e+00 4.280941102323545522e-01 4.259999999999999898e-01
1.843900000000000095e+00 4.901237833750577977e-01 4.883000000000000118e-01
1.887100000000000000e+00 5.452441077441108064e-01 5.446999999999999620e-01
1.923100000000000032e+00 5.974893162393257739e-01 5.955000000000000293e-01
1.954299999999999926e+00 6.454835350774388303e-01 6.422999999999999821e-01
1.982199999999999962e+00 6.927705800377168543e-01 6.936999999999999833e-01
2.007600000000000051e+00 7.399962519369793768e-01 7.391999999999999682e-01
2.031099999999999905e+00 7.881439034526280807e-01 7.899000000000000465e-01
2.052999999999999936e+00 8.417174269628091565e-01 8.381999999999999451e-01
2.073599999999999888e+00 8.918187640304964248e-01 8.873999999999999666e-01
2.093300000000000161e+00 9.360874572020492224e-01 9.419999999999999485e-01
2.112099999999999866e+00 1.001891252955083189e+00 9.989999999999999991e-01
2.130100000000000104e+00 1.071164766376028865e+00 1.063600000000000101e+00
2.147600000000000176e+00 1.128430154670567731e+00 1.132100000000000106e+00
2.164600000000000080e+00 1.209526340656744026e+00 1.206700000000000106e+00
2.181200000000000028e+00 1.296637770594564643e+00 1.299199999999999910e+00
2.197400000000000020e+00 1.396814200905204473e+00 1.394600000000000062e+00
2.213299999999999823e+00 1.526159729057226855e+00 1.519600000000000062e+00
2.229000000000000092e+00 1.661132535706194346e+00 1.662700000000000067e+00
2.244499999999999940e+00 1.822636366374524641e+00 1.813499999999999890e+00
2.259799999999999809e+00 1.954355371714399325e+00 1.979600000000000026e+00
2.274999999999999911e+00 2.082236842105245955e+00 2.081700000000000106e+00
2.290200000000000014e+00 2.108499356383887857e+00 2.115600000000000147e+00
2.305299999999999905e+00 1.993747749644256828e+00 2.033900000000000041e+00
2.320500000000000007e+00 1.855263157894725623e+00 1.865099999999999980e+00
2.335700000000000109e+00 1.692312648384067586e+00 1.698199999999999932e+00
2.350999999999999979e+00 1.537958762618657715e+00 1.526599999999999957e+00
2.366400000000000059e+00 1.400782550782537328e+00 1.391000000000000014e+00
2.382000000000000117e+00 1.274274886539039642e+00 1.269400000000000084e+00
2.397899999999999920e+00 1.175404312668469231e+00 1.184900000000000064e+00
2.414000000000000146e+00 1.108335566872142408e+00 1.109399999999999942e+00
2.430400000000000116e+00 1.042963009191907986e+00 1.040499999999999980e+00
2.447299999999999809e+00 9.917045152471501979e-01 9.885000000000000453e-01
2.464599999999999902e+00 9.441175650325668300e-01 9.435000000000000053e-01
2.482499999999999929e+00 8.992914104396518837e-01 9.033999999999999808e-01
2.501100000000000101e+00 8.660260065494824744e-01 8.647000000000000242e-01
2.520399999999999974e+00 8.298490968149572211e-01 8.265000000000000124e-01
2.540799999999999947e+00 7.909404190160245207e-01 7.910000000000000364e-01
2.562300000000000022e+00 7.555797851268515331e-01 7.579000000000000181e-01
2.585199999999999942e+00 7.243982454788095993e-01 7.227000000000000091e-01
2.609999999999999876e+00 6.932393358988591103e-01 6.933000000000000274e-01
2.637100000000000222e+00 6.622781234898305058e-01 6.591000000000000192e-01
2.667199999999999793e+00 6.303986710963460638e-01 6.270000000000000018e-01
2.701600000000000001e+00 5.930665289736900547e-01 5.937000000000000055e-01
2.742300000000000182e+00 5.590444022445275607e-01 5.606999999999999762e-01
2.793200000000000127e+00 5.220167049147477201e-01 5.203999999999999737e-01
2.864500000000000046e+00 4.738548696467632659e-01 4.727999999999999980e-01
3.000000000000000000e+00 4.361623616236158796e-01 4.017999999999999905e-01
