 # Monte Carlo simulation of a 2D Ising model
#         Iter        Energy   Energ Check Magnetization
        000001       -1764.0       -1760.0           140
        000002       -2376.0       -2376.0           142
        000003       -2828.0       -2828.0           192
        000004       -3056.0       -3056.0           208
        000005       -3192.0       -3192.0           300
        000006       -3336.0       -3336.0           328
        000007       -3404.0       -3404.0           330
        000008       -3448.0       -3448.0           284
        000009       -3520.0       -3520.0           330
        000010       -3576.0       -3576.0           340
        000011       -3592.0       -3592.0           358
        000012       -3632.0       -3632.0           354
        000013       -3676.0       -3676.0           360
        000014       -3700.0       -3700.0           410
        000015       -3720.0       -3720.0           410
        000016       -3752.0       -3752.0           362
        000017       -3804.0       -3804.0           354
        000018       -3812.0       -3812.0           350
        000019       -3816.0       -3816.0           392
        000020       -3832.0       -3832.0           422
        000021       -3856.0       -3856.0           464
        000022       -3892.0       -3892.0           466
        000023       -3908.0       -3908.0           452
        000024       -3904.0       -3904.0           440
        000025       -3932.0       -3932.0           500
        000026       -3984.0       -3984.0           508
        000027       -4020.0       -4020.0           502
        000028       -4008.0       -4008.0           498
        000029       -3976.0       -3976.0           526
        000030       -4012.0       -4012.0           556
        000031       -4000.0       -4000.0           600
        000032       -4040.0       -4040.0           596
        000033       -4044.0       -4044.0           602
        000034       -4024.0       -4024.0           618
        000035       -4076.0       -4076.0           662
        000036       -4072.0       -4072.0           688
        000037       -4080.0       -4080.0           696
        000038       -4104.0       -4104.0           686
        000039       -4112.0       -4112.0           658
        000040       -4128.0       -4128.0           672
        000041       -4152.0       -4152.0           668
        000042       -4152.0       -4152.0           696
        000043       -4172.0       -4172.0           668
        000044       -4192.0       -4192.0           656
        000045       -4200.0       -4200.0           670
        000046       -4200.0       -4200.0           698
        000047       -4220.0       -4220.0           718
        000048       -4196.0       -4196.0           720
        000049       -4184.0       -4184.0           728
        000050       -4176.0       -4176.0           732
        000051       -4180.0       -4180.0           726
        000052       -4196.0       -4196.0           702
        000053       -4232.0       -4232.0           702
        000054       -4180.0       -4180.0           680
        000055       -4204.0       -4204.0           754
        000056       -4256.0       -4256.0           744
        000057       -4268.0       -4268.0           740
        000058       -4232.0       -4232.0           752
        000059       -4236.0       -4236.0           764
        000060       -4232.0       -4232.0           752
        000061       -4204.0       -4204.0           754
        000062       -4248.0       -4248.0           796
        000063       -4228.0       -4228.0           798
        000064       -4248.0       -4248.0           838
        000065       -4288.0       -4288.0           842
        000066       -4272.0       -4272.0           878
        000067       -4292.0       -4292.0           860
        000068       -4264.0       -4264.0           864
        000069       -4268.0       -4268.0           880
        000070       -4256.0       -4256.0           882
        000071       -4248.0       -4248.0           860
        000072       -4232.0       -4232.0           876
        000073       -4268.0       -4268.0           864
        000074       -4236.0       -4236.0           868
        000075       -4240.0       -4240.0           872
        000076       -4240.0       -4240.0           872
        000077       -4228.0       -4228.0           878
        000078       -4236.0       -4236.0           898
        000079       -4240.0       -4240.0           922
        000080       -4256.0       -4256.0           940
        000081       -4248.0       -4248.0           952
        000082       -4272.0       -4272.0           964
        000083       -4296.0       -4296.0           994
        000084       -4256.0       -4256.0           982
        000085       -4276.0       -4276.0          1006
        000086       -4304.0       -4304.0          1022
        000087       -4300.0       -4300.0          1030
        000088       -4292.0       -4292.0          1000
        000089       -4300.0       -4300.0          1024
        000090       -4288.0       -4288.0          1046
        000091       -4284.0       -4284.0          1034
        000092       -4292.0       -4292.0          1026
        000093       -4328.0       -4328.0          1016
        000094       -4316.0       -4316.0          1024
        000095       -4292.0       -4292.0           994
        000096       -4268.0       -4268.0          1016
        000097       -4284.0       -4284.0          1012
        000098       -4336.0       -4336.0          1038
        000099       -4300.0       -4300.0          1034
        000100       -4320.0       -4320.0          1032
        000101       -4324.0       -4324.0          1040
        000102       -4280.0       -4280.0          1036
        000103       -4292.0       -4292.0          1032
        000104       -4304.0       -4304.0          1056
        000105       -4304.0       -4304.0          1078
        000106       -4308.0       -4308.0          1088
        000107       -4312.0       -4312.0          1094
        000108       -4280.0       -4280.0          1084
        000109       -4288.0       -4288.0          1088
        000110       -4268.0       -4268.0          1096
        000111       -4260.0       -4260.0          1074
        000112       -4320.0       -4320.0          1078
        000113       -4320.0       -4320.0          1074
        000114       -4320.0       -4320.0          1076
        000115       -4324.0       -4324.0          1082
        000116       -4284.0       -4284.0          1096
        000117       -4316.0       -4316.0          1086
        000118       -4304.0       -4304.0          1098
        000119       -4288.0       -4288.0          1084
        000120       -4272.0       -4272.0          1076
        000121       -4284.0       -4284.0          1086
        000122       -4340.0       -4340.0          1120
        000123       -4324.0       -4324.0          1114
        000124       -4308.0       -4308.0          1136
        000125       -4260.0       -4260.0          1122
        000126       -4280.0       -4280.0          1124
        000127       -4276.0       -4276.0          1146
        000128       -4312.0       -4312.0          1154
        000129       -4320.0       -4320.0          1140
        000130       -4332.0       -4332.0          1114
        000131       -4332.0       -4332.0          1110
        000132       -4324.0       -4324.0          1120
        000133       -4284.0       -4284.0          1114
        000134       -4272.0       -4272.0          1104
        000135       -4268.0       -4268.0          1090
        000136       -4304.0       -4304.0          1068
        000137       -4268.0       -4268.0          1080
        000138       -4268.0       -4268.0          1092
        000139       -4296.0       -4296.0          1096
        000140       -4320.0       -4320.0          1112
        000141       -4280.0       -4280.0          1084
        000142       -4300.0       -4300.0          1066
        000143       -4296.0       -4296.0          1082
        000144       -4340.0       -4340.0          1088
        000145       -4304.0       -4304.0          1098
        000146       -4280.0       -4280.0          1130
        000147       -4320.0       -4320.0          1116
        000148       -4348.0       -4348.0          1132
        000149       -4316.0       -4316.0          1124
